Fiscal Year,Cases,Responses,Sorties,Lives Saved,Lives Lost After CG Notification,Lives Lost Before CG Notification,Total,Lives Unaccounted For 
1964,,41525,,2932,,,,,
1965,,38586,,1984,,,,,
1966,,43366,,2629,,,,,
1967,,42225,,3028,,,,,
1968,,46922,,2434,,,,,
1969,,48720,,2050,,,,,
1970,44975,52183,62286,4135,1783,,1783,,
1971,48894,56181,68251,2423,1324,,1324,,
1972,51539,60328,72306,2633,1389,,1389,,
1973,55107,64182,77209,2918,1474,,1474,,
1974,59335,67692,79950,2751,1509,,1509,,
1975,62334,70551,81561,3024,1254,,1254,,
1976,67179,75069,87807,2995,1112,,1112,,
1977,74637,82601,96021,4121,1458,,1458,,
1978,77954,86222,100262,4386,1556,,1556,,
1979,72517,79858,92117,5747,949,672,1621,,
1980,73345,81476,93726,6868,1235,586,1821,,
1981,71781,78951,91432,6339,1080,637,1717,,
1982,68552,75717,87715,5675,1359,446,1805,,
1983,63980,72585,85796,5946,1121,640,1761,,
1984,57431,66073,80698,5645,1148,319,1467,,
1985,60775,70237,88449,6497,1076,259,1335,,
1986,51765,68805,89318,4307,475,180,655,,
1987,55998,66656,87211,5785,1015,576,1591,,
1988,54199,63446,83616,4307,583,449,1032,,
1989,52776,64027,81862,3981,461,646,1107,,
1990,53097,64971,84033,4407,463,622,1085,,
1991,52782,66409,84872,5465,368,748,1116,,
1992,53294,69856,88388,5543,399,540,939,,
1993,53026,69784,88147,5826,415,800,1215,,
1994,53899,70337,108758,7889,338,593,931,,
1995,49704,63679,110267,4453,304,468,772,,
1996,43553,55710,98423,5047,367,611,978,,
1997,41096,52141,91722,3897,290,454,744,,
1998,37218,46602,83307,3194,188,418,606,,
1999,39844,50622,89635,3743,180,353,533,,
2000,40214,48226,57697,3400,239,779,1018,304,
2001,39457,49502,59015,4010,297,413,710,515,
2002,36763,46643,54609,3661,236,399,635,339,
2003,31429,51389,33117,5192,263,409,672,496,
2004,32418,59995,33460,5557,281,502,783,691,
2005,29646,52741,30779,5635,324,521,845,603,
2006,28151,45910,28583,5275,328,452,780,664,
2007,26927,47517,26586,5200,300,492,792,732,
2008,24213,44931,25475,4900,291,534,825,435,
2009,23545,47497,24644,4882,261,555,816,578,
2010,22229,46407,23145,4362,263,552,815,409,
2011,20512,43954,21566,3793,259,476,735,392,
2012,19787,43940,21609,4037,284,429,713,440,
2013,17803,38272,19420,3753,226,425,651,252,
2014,17508,38282,19032,3443,170,425,595,308,
2015,16456,37215,18781,3536,169,434,603,330,
